Batsman,Bowler,Probability of 0,Probability of 1,Probability of 2,Probability of 3,Probability of 4,Probability of 6,Probability of W,Balls Faced
Gurkeerat Singh,IK Pathan,0,0.5,0.25,0,0,0.25,0,8
SP Narine,CH Morris,0,0.5,0.5,0,0,0,0,2
G Gambhir,B Kumar,0.2,0.6,0.066666667,0,0.133333333,0,0,15
SE Marsh,DJ Hooda,0.333333333,0.4,0.066666667,0,0.066666667,0.133333333,0,15
SPD Smith,HH Pandya,0.4,0.4,0,0,0,0.2,0,5
R Ashwin,B Kumar,1,0,0,0,0,0,0,3
SA Yadav,Harbhajan Singh,0,0.714285714,0,0,0.285714286,0,0,7
HH Pandya,MR Marsh,0.5,0,0,0,0,0,0.5,2
KL Rahul,DJ Bravo,0.333333333,0.555555556,0,0,0.111111111,0,0,9
J Yadav,Iqbal Abdulla,0,1,0,0,0,0,0,3
SPD Smith,KW Richardson,1,0,0,0,0,0,0,1
CR Brathwaite,Sandeep Sharma,0.4,0,0,0,0.2,0.2,0.2,5
MS Dhoni,Sandeep Sharma,0.5,0.166666667,0,0,0.166666667,0.166666667,0,6
MK Pandey,A Zampa,0.5,0.5,0,0,0,0,0,4
AB de Villiers,JJ Bumrah,0.555555556,0.444444444,0,0,0,0,0,9
AJ Finch,MC Henriques,0.235294118,0.470588235,0,0,0.235294118,0.058823529,0,17
MC Henriques,MR Marsh,0.5,0,0,0,0,0,0.5,2
JP Duminy,DJ Bravo,0.25,0.375,0.125,0,0.125,0,0.125,8
SV Samson,STR Binny,0.333333333,0.666666667,0,0,0,0,0,3
KL Rahul,BCJ Cutting,0.333333333,0.333333333,0,0,0,0,0.333333333,3
Mohammed Shami,AD Russell,1,0,0,0,0,0,0,1
RG Sharma,PP Chawla,0.3,0.6,0,0,0,0.1,0,10
M Vohra,UT Yadav,0.333333333,0.333333333,0.333333333,0,0,0,0,3
AJ Finch,JJ Bumrah,0.111111111,0.444444444,0.333333333,0,0.111111111,0,0,9
S Dhawan,KJ Abbott,0.222222222,0.444444444,0.111111111,0,0.222222222,0,0,9
KL Rahul,AR Patel,0.333333333,0.333333333,0,0,0.333333333,0,0,3
KP Pietersen,P Sahu,1,0,0,0,0,0,0,1
GJ Maxwell,S Kaushik,0.5,0,0,0,0,0,0.5,2
AM Rahane,KJ Abbott,0.5,0.25,0,0,0.25,0,0,8
SV Samson,B Kumar,0.363636364,0.181818182,0.454545455,0,0,0,0,11
WP Saha,R Ashwin,0,1,0,0,0,0,0,4
SK Raina,CH Morris,0.416666667,0.333333333,0.083333333,0,0.083333333,0,0.083333333,12
GJ Maxwell,CH Morris,0.333333333,0.333333333,0,0,0,0,0.333333333,3
PV Tambe,CJ Jordan,1,0,0,0,0,0,0,1
F du Plessis,KJ Abbott,0.384615385,0.307692308,0.153846154,0,0.153846154,0,0,13
EJG Morgan,KJ Abbott,0.333333333,0.333333333,0,0,0.333333333,0,0,3
WP Saha,S Nadeem,0,0.5,0.5,0,0,0,0,4
KK Nair,R Ashwin,0.111111111,0.888888889,0,0,0,0,0,9
Sachin Baby,Sandeep Sharma,0,0.75,0,0,0,0,0.25,4
JP Duminy,DS Kulkarni,0.428571429,0.571428571,0,0,0,0,0,7
SS Tiwary,Gurkeerat Singh,0.571428571,0.142857143,0,0,0,0.142857143,0.142857143,7
SPD Smith,DS Kulkarni,0,0.75,0,0,0.25,0,0,4
PA Patel,JD Unadkat,0,1,0,0,0,0,0,1
V Kohli,KJ Abbott,0.3,0.4,0,0,0.2,0.1,0,10
AM Rahane,CH Morris,0.25,0.5,0,0,0.25,0,0,4
JA Morkel,R Sathish,0,1,0,0,0,0,0,1
P Negi,MJ McClenaghan,0.857142857,0.142857143,0,0,0,0,0,7
P Kumar,YS Chahal,0.666666667,0.333333333,0,0,0,0,0,3
Imran Tahir,MJ McClenaghan,0.714285714,0,0,0,0.142857143,0,0.142857143,7
V Kohli,A Zampa,0.153846154,0.461538462,0,0,0.230769231,0.153846154,0,13
UBT Chand,MM Sharma,0.8,0,0,0,0,0,0.2,5
RA Jadeja,HH Pandya,0.75,0,0,0,0.25,0,0,4
DJ Hooda,JO Holder,0,0.5,0,0,0,0.5,0,2
P Negi,CJ Jordan,0.75,0.25,0,0,0,0,0,4
AB de Villiers,RA Jadeja,0.35483871,0.451612903,0,0,0.096774194,0.096774194,0,31
AJ Finch,M Morkel,0.428571429,0.428571429,0,0,0,0.142857143,0,7
DR Smith,JA Morkel,0.666666667,0,0.166666667,0,0.166666667,0,0,6
WP Saha,KH Pandya,0.428571429,0.357142857,0.142857143,0,0.071428571,0,0,14
Sandeep Sharma,CH Morris,1,0,0,0,0,0,0,1
Q de Kock,P Kumar,0.5625,0.25,0,0,0.125,0.0625,0,16
Yuvraj Singh,SP Narine,0.733333333,0.066666667,0.066666667,0,0.133333333,0,0,15
KA Pollard,CH Morris,0.571428571,0.285714286,0,0,0,0,0.142857143,7
Gurkeerat Singh,SR Watson,0.5,0.5,0,0,0,0,0,6
AP Tare,AB Dinda,0.75,0,0,0,0,0,0.25,4
MM Sharma,AD Russell,0,1,0,0,0,0,0,1
M Vohra,P Negi,0.25,0,0.25,0,0.25,0,0.25,4
KV Sharma,Kuldeep Yadav,1,0,0,0,0,0,0,2
YK Pathan,DS Kulkarni,0.363636364,0.181818182,0.181818182,0,0.181818182,0,0.090909091,11
JC Buttler,STR Binny,0,1,0,0,0,0,0,2
KP Pietersen,JP Faulkner,0.25,0.5,0,0,0.25,0,0,4
WP Saha,A Zampa,0.333333333,0.333333333,0,0,0,0,0.333333333,3
KA Pollard,VR Aaron,0.333333333,0.555555556,0,0.111111111,0,0,0,9
MC Henriques,TG Southee,0.666666667,0.166666667,0,0,0,0,0.166666667,6
NLTC Perera,R Sathish,0.333333333,0.333333333,0,0,0,0.166666667,0.166666667,6
SS Tiwary,Imran Tahir,0.333333333,0.333333333,0.166666667,0,0,0,0.166666667,6
MK Pandey,A Ashish Reddy,0,1,0,0,0,0,0,2
TG Southee,Mustafizur Rahman,0.25,0.5,0,0,0,0,0.25,4
SS Iyer,KH Pandya,0.333333333,0.666666667,0,0,0,0,0,3
DA Warner,JP Duminy,0.375,0.375,0.125,0,0.125,0,0,8
S Dhawan,MR Marsh,0.285714286,0.571428571,0.142857143,0,0,0,0,7
TM Head,TG Southee,1,0,0,0,0,0,0,3
P Kumar,Sandeep Sharma,0.5,0.5,0,0,0,0,0,4
KD Karthik,NLTC Perera,0,0.666666667,0,0,0.333333333,0,0,3
RV Uthappa,DR Smith,0.666666667,0,0,0,0,0,0.333333333,3
EJG Morgan,MR Marsh,0.666666667,0,0,0,0,0,0.333333333,3
CH Morris,P Kumar,0.333333333,0.666666667,0,0,0,0,0,3
F du Plessis,M Morkel,0.8,0.2,0,0,0,0,0,5
DR Smith,NLTC Perera,0.333333333,0.333333333,0,0,0.166666667,0,0.166666667,6
SK Raina,MJ McClenaghan,0.352941176,0.235294118,0,0,0.294117647,0.058823529,0.058823529,17
RR Pant,UT Yadav,0,1,0,0,0,0,0,1
BCJ Cutting,CJ Jordan,0.4,0.4,0,0,0.2,0,0,5
BB Sran,A Zampa,0,1,0,0,0,0,0,1
AT Rayudu,BB Sran,0.428571429,0.142857143,0.142857143,0,0.142857143,0,0.142857143,7
V Kohli,Z Khan,0.238095238,0.380952381,0.095238095,0,0.238095238,0.047619048,0,21
CR Brathwaite,AD Russell,0.333333333,0,0,0,0,0.333333333,0.333333333,3
MJ McClenaghan,Mustafizur Rahman,0.428571429,0.285714286,0,0,0.142857143,0,0.142857143,7
PA Patel,DJ Bravo,0,0.666666667,0.333333333,0,0,0,0,3
JP Duminy,S Kaushik,0.2,0.2,0.2,0,0.4,0,0,5
SV Samson,Mustafizur Rahman,0.166666667,0.833333333,0,0,0,0,0,6
Shakib Al Hasan,NLTC Perera,0.5,0.5,0,0,0,0,0,2
SK Raina,JO Holder,0.333333333,0.333333333,0,0,0.333333333,0,0,6
KH Pandya,DR Smith,0.5,0,0,0,0.25,0,0.25,4
RR Pant,B Kumar,0.5,0.333333333,0,0,0,0.166666667,0,6
SV Samson,SM Boland,0.375,0.25,0.125,0,0.125,0,0.125,8
DA Warner,KA Pollard,0.333333333,0.666666667,0,0,0,0,0,3
MR Marsh,DJ Bravo,0.4,0.4,0.2,0,0,0,0,5
MA Agarwal,A Nehra,0.5,0,0,0,0,0,0.5,2
NV Ojha,YS Chahal,0.75,0,0,0,0,0,0.25,4
UT Khawaja,Mohammed Shami,0.2,0.4,0.2,0,0.2,0,0,5
HM Amla,TG Southee,0.833333333,0,0,0,0,0,0.166666667,6
SA Yadav,AR Patel,0.5,0.5,0,0,0,0,0,4
AD Russell,Mohammed Shami,0.666666667,0.166666667,0,0,0,0.166666667,0,6
MS Dhoni,YS Chahal,0.4,0.6,0,0,0,0,0,5
M Vijay,AB Dinda,0.5,0.25,0.125,0,0.125,0,0,8
Yuvraj Singh,KA Pollard,0.2,0.2,0.2,0,0.2,0.2,0,5
S Dhawan,MM Sharma,0.583333333,0.416666667,0,0,0,0,0,12
V Kohli,R Bhatia,0.19047619,0.571428571,0.047619048,0,0.142857143,0.047619048,0,21
Sachin Baby,AD Russell,0.5,0,0,0,0,0,0.5,2
MK Pandey,BCJ Cutting,0,1,0,0,0,0,0,4
R Vinay Kumar,M Ashwin,0.5,0.5,0,0,0,0,0,2
G Gambhir,S Aravind,0.473684211,0.315789474,0,0,0.157894737,0,0.052631579,19
SS Tiwary,A Nehra,0.4,0.2,0,0,0.2,0,0.2,5
V Kohli,BCJ Cutting,0.3,0.5,0.1,0,0.1,0,0,10
DA Miller,MJ McClenaghan,0.444444444,0.444444444,0,0,0.111111111,0,0,9
Z Khan,JJ Bumrah,0.333333333,0.666666667,0,0,0,0,0,3
NV Ojha,JO Holder,0.5,0.375,0,0,0,0,0.125,8
PP Chawla,JA Morkel,0,1,0,0,0,0,0,2
GJ Maxwell,M Morkel,0.571428571,0.142857143,0,0,0.285714286,0,0,7
SV Samson,P Kumar,0.666666667,0.333333333,0,0,0,0,0,3
SS Iyer,MJ McClenaghan,0.5,0.25,0,0,0.125,0.125,0,8
C Munro,Mustafizur Rahman,0.333333333,0.666666667,0,0,0,0,0,3
SA Yadav,NLTC Perera,0.444444444,0.333333333,0,0,0.222222222,0,0,9
YK Pathan,B Kumar,0.2,0.8,0,0,0,0,0,5
G Gambhir,Mohammed Shami,0,1,0,0,0,0,0,2
G Gambhir,MJ McClenaghan,0.307692308,0.423076923,0.115384615,0,0.115384615,0,0.038461538,26
KL Rahul,SP Narine,0.222222222,0.333333333,0,0,0.333333333,0.111111111,0,9
MS Dhoni,Imran Tahir,0.666666667,0.222222222,0,0,0,0,0.111111111,9
JA Morkel,PP Chawla,0.5,0.5,0,0,0,0,0,2
YK Pathan,VR Aaron,0.166666667,0.333333333,0.166666667,0,0.166666667,0.166666667,0,6
S Dhawan,RA Jadeja,0.375,0.3125,0.25,0.0625,0,0,0,16
SR Watson,UT Yadav,0,0.6,0,0,0.2,0,0.2,5
SA Yadav,JA Morkel,0.428571429,0.142857143,0,0,0.428571429,0,0,7
KK Nair,DS Kulkarni,0.25,0.25,0,0,0.25,0,0.25,4
MS Dhoni,Mohammed Shami,0,0.4,0.2,0,0.2,0.2,0,5
KD Karthik,STR Binny,0,1,0,0,0,0,0,2
S Dhawan,Harbhajan Singh,0.2,0.6,0,0,0.2,0,0,5
DJ Bravo,JJ Bumrah,0.666666667,0,0,0,0,0,0.333333333,3
YK Pathan,KV Sharma,0.333333333,0.166666667,0.166666667,0,0,0.333333333,0,6
MK Pandey,VR Aaron,0.25,0.75,0,0,0,0,0,4
EJG Morgan,GJ Maxwell,0.333333333,0.666666667,0,0,0,0,0,3
F du Plessis,AR Patel,0.444444444,0.333333333,0.111111111,0,0.111111111,0,0,9
S Dhawan,JO Holder,0.444444444,0.333333333,0.111111111,0,0,0.111111111,0,9
KL Rahul,B Kumar,0.25,0.25,0.125,0,0.375,0,0,8
SE Marsh,M Ashwin,0.5,0,0,0,0,0,0.5,2
G Gambhir,Bipul Sharma,0,1,0,0,0,0,0,3
AT Rayudu,SR Watson,0.466666667,0.333333333,0.066666667,0,0.133333333,0,0,15
SW Billings,JO Holder,0.25,0.5,0,0,0,0.25,0,4
G Gambhir,JJ Bumrah,0.375,0.5,0.125,0,0,0,0,8
V Kohli,MM Sharma,0.111111111,0.444444444,0,0,0.444444444,0,0,9
SA Yadav,DJ Bravo,0,0.5,0,0,0.5,0,0,2
AD Russell,MJ McClenaghan,0.333333333,0.333333333,0,0,0,0,0.333333333,3
S Dhawan,DJ Bravo,0.222222222,0.5,0.055555556,0,0.222222222,0,0,18
M Vohra,Shakib Al Hasan,0.8,0.2,0,0,0,0,0,5
DR Smith,MJ McClenaghan,0.5,0.333333333,0,0,0.166666667,0,0,6
AB de Villiers,A Ashish Reddy,0.142857143,0.285714286,0,0,0.285714286,0.285714286,0,7
KS Williamson,J Yadav,0,1,0,0,0,0,0,1
S Dhawan,SP Narine,0.333333333,0.333333333,0,0,0,0.333333333,0,3
RA Jadeja,KC Cariappa,0,1,0,0,0,0,0,2
SE Marsh,MJ McClenaghan,0,0.666666667,0.333333333,0,0,0,0,3
RV Uthappa,Mustafizur Rahman,0.333333333,0.666666667,0,0,0,0,0,6
C Munro,KS Williamson,0.333333333,0.333333333,0,0,0.333333333,0,0,3
RV Uthappa,MM Sharma,0.166666667,0.583333333,0,0,0.25,0,0,12
TM Head,MM Sharma,0,1,0,0,0,0,0,1
AB de Villiers,Bipul Sharma,0.166666667,0.666666667,0,0,0,0,0.166666667,6
GJ Maxwell,GB Hogg,0,0.375,0.125,0,0.25,0.25,0,8
Q de Kock,DS Kulkarni,0.6,0.1,0,0,0.2,0,0.1,10
BB McCullum,BCJ Cutting,0.25,0.5,0,0,0.25,0,0,4
B Kumar,CH Morris,0.5,0.5,0,0,0,0,0,2
MC Henriques,CR Brathwaite,0.5,0.333333333,0,0,0.166666667,0,0,6
SE Marsh,TG Southee,0.5,0.25,0,0,0,0,0.25,4
MG Johnson,MJ McClenaghan,0.333333333,0.333333333,0,0,0,0,0.333333333,3
Sachin Baby,M Morkel,0,1,0,0,0,0,0,1
R Ashwin,Mustafizur Rahman,0,0.6,0.2,0,0.2,0,0,5
BCJ Cutting,SR Watson,0.428571429,0.071428571,0,0,0.142857143,0.285714286,0.071428571,14
Shakib Al Hasan,Mustafizur Rahman,0.5,0.333333333,0.166666667,0,0,0,0,6
Harbhajan Singh,MM Sharma,0.428571429,0.285714286,0,0,0.142857143,0.142857143,0,7
UT Yadav,Z Khan,0.25,0.25,0,0,0,0,0.5,4
F du Plessis,Sandeep Sharma,0.333333333,0.444444444,0,0,0.222222222,0,0,9
BCJ Cutting,Kuldeep Yadav,0.5,0,0,0,0,0,0.5,2
RA Jadeja,A Nehra,0,0.666666667,0,0,0.333333333,0,0,3
RG Sharma,DS Kulkarni,0.416666667,0.083333333,0,0,0.166666667,0.166666667,0.166666667,12
WP Saha,Iqbal Abdulla,0.2,0.6,0.2,0,0,0,0,5
CH Gayle,Mustafizur Rahman,0.5,0.5,0,0,0,0,0,4
BB McCullum,PP Chawla,0.555555556,0.333333333,0,0,0,0,0.111111111,9
MJ McClenaghan,MC Henriques,0.333333333,0.666666667,0,0,0,0,0,3
M Vijay,Z Khan,0.75,0.25,0,0,0,0,0,8
NV Ojha,AD Russell,0.5,0,0.333333333,0,0.166666667,0,0,6
RR Pant,Mustafizur Rahman,0.35,0.35,0.05,0,0.15,0.1,0,20
MM Sharma,CH Gayle,0.142857143,0.714285714,0,0,0.142857143,0,0,7
SA Yadav,R Ashwin,0.454545455,0.363636364,0,0,0,0.181818182,0,11
SPD Smith,PP Chawla,0.142857143,0.571428571,0.285714286,0,0,0,0,7
RG Sharma,Kuldeep Yadav,0.333333333,0.5,0.083333333,0,0,0.083333333,0,12
RV Uthappa,CH Morris,0.55,0.2,0.05,0,0.15,0,0.05,20
JC Buttler,SP Narine,0.714285714,0,0,0,0.142857143,0,0.142857143,7
S Dhawan,R Ashwin,0.368421053,0.421052632,0.157894737,0,0,0,0.052631579,19
SV Samson,MM Sharma,0.5625,0.1875,0.125,0,0.125,0,0,16
BB Sran,AS Rajpoot,0,1,0,0,0,0,0,2
SK Raina,DJ Hooda,0.1,0.7,0.1,0,0.1,0,0,10
AM Rahane,P Kumar,0.5,0.333333333,0,0,0.111111111,0,0.055555556,18
ER Dwivedi,B Kumar,0.571428571,0.142857143,0,0,0.142857143,0,0.142857143,7
S Dhawan,Kuldeep Yadav,0.5,0.25,0,0,0,0,0.25,4
M Vijay,DJ Bravo,0.285714286,0.571428571,0.142857143,0,0,0,0,7
SK Raina,PP Chawla,0,1,0,0,0,0,0,2
CJ Jordan,B Kumar,0,1,0,0,0,0,0,1
GJ Bailey,NM Coulter-Nile,0.666666667,0.333333333,0,0,0,0,0,6
R Sathish,A Mishra,0.75,0.25,0,0,0,0,0,4
KJ Abbott,AD Russell,0,0.333333333,0,0.333333333,0,0.333333333,0,3
F du Plessis,A Nehra,0.777777778,0.111111111,0,0,0.111111111,0,0,9
KL Rahul,MP Stoinis,0,0.428571429,0,0,0.428571429,0.142857143,0,7
UT Khawaja,STR Binny,0,0,0,0,1,0,0,1
MS Dhoni,AR Patel,0.5,0.055555556,0.111111111,0.055555556,0.055555556,0.222222222,0,18
TM Head,HH Pandya,0.4,0.4,0,0,0,0.2,0,5
EJG Morgan,Z Khan,0.333333333,0.666666667,0,0,0,0,0,3
HH Pandya,I Sharma,0.818181818,0,0,0,0.181818182,0,0,11
YK Pathan,PV Tambe,0.285714286,0.428571429,0.142857143,0,0.142857143,0,0,7
KV Sharma,AD Russell,0,1,0,0,0,0,0,2
AJ Finch,P Sahu,0.125,0.5,0,0,0.25,0,0.125,8
JP Duminy,P Kumar,0.666666667,0.166666667,0.166666667,0,0,0,0,6
M Vohra,J Yadav,0.333333333,0.333333333,0.333333333,0,0,0,0,3
SPD Smith,Sandeep Sharma,0.333333333,0.666666667,0,0,0,0,0,3
AJ Finch,R Bhatia,0.6,0,0,0,0,0.4,0,5
JP Duminy,YS Chahal,0,1,0,0,0,0,0,1
SS Tiwary,JJ Bumrah,0.4,0.1,0.2,0,0.2,0,0.1,10
CH Gayle,B Kumar,0.727272727,0.090909091,0,0,0.090909091,0,0.090909091,11
EJG Morgan,PP Chawla,0.333333333,0,0.333333333,0,0.333333333,0,0,3
AM Rahane,P Negi,0,1,0,0,0,0,0,2
Shakib Al Hasan,B Kumar,0.5,0,0,0,0,0,0.5,2
KK Nair,SM Boland,0.2,0.4,0,0,0.4,0,0,5
DR Smith,HH Pandya,0.333333333,0.333333333,0,0,0.333333333,0,0,3
Q de Kock,Sandeep Sharma,0.555555556,0.333333333,0,0,0.111111111,0,0,9
AM Rahane,HV Patel,0.25,0.75,0,0,0,0,0,4
SR Watson,P Negi,0.25,0.25,0.25,0,0,0,0.25,4
G Gambhir,R Ashwin,0.5,0,0,0,0,0,0.5,2
Gurkeerat Singh,AD Russell,0.2,0.4,0,0,0,0,0.4,5
AJ Finch,VR Aaron,0.444444444,0.222222222,0.111111111,0,0.222222222,0,0,9
SK Raina,R Vinay Kumar,0.555555556,0.222222222,0,0,0.222222222,0,0,9
SK Raina,B Kumar,0.35,0.2,0.05,0,0.25,0.05,0.1,20
V Kohli,AR Patel,0.5,0.25,0.083333333,0,0.166666667,0,0,12
SK Raina,MC Henriques,0.111111111,0.777777778,0.111111111,0,0,0,0,9
S Dhawan,RP Singh,0.428571429,0.142857143,0.142857143,0,0.142857143,0.142857143,0,7
KS Williamson,JP Duminy,0.5,0.5,0,0,0,0,0,2
EJG Morgan,A Mishra,0,1,0,0,0,0,0,2
M Vohra,JJ Bumrah,0.25,0.5,0,0,0,0,0.25,4
DR Smith,JJ Bumrah,0.428571429,0.428571429,0,0,0.142857143,0,0,7
SS Tiwary,KJ Abbott,0.75,0,0.25,0,0,0,0,4
AD Russell,TG Southee,0.384615385,0.153846154,0.230769231,0,0,0.153846154,0.076923077,13
AB de Villiers,KV Sharma,0.142857143,0.571428571,0,0,0,0.285714286,0,7
RG Sharma,KW Richardson,0.625,0.25,0,0,0.125,0,0,8
JC Buttler,Sandeep Sharma,0.5,0.166666667,0.166666667,0,0.166666667,0,0,6
MK Pandey,TG Southee,0,1,0,0,0,0,0,1
P Negi,CH Gayle,0.428571429,0.428571429,0,0,0,0,0.142857143,7
Bipul Sharma,P Kumar,0.2,0.2,0.4,0,0,0.2,0,5
STR Binny,SB Jakati,0.5,0,0,0,0.333333333,0.166666667,0,6
KD Karthik,R Bhatia,0,0.75,0.25,0,0,0,0,4
MM Sharma,YS Chahal,0.333333333,0.333333333,0,0,0.333333333,0,0,3
MS Dhoni,Mustafizur Rahman,0.166666667,0.5,0.333333333,0,0,0,0,6
M Vijay,AD Russell,0.5,0.5,0,0,0,0,0,4
NV Ojha,R Ashwin,0.571428571,0.428571429,0,0,0,0,0,7
KL Rahul,TG Southee,0.363636364,0.454545455,0.090909091,0,0.090909091,0,0,11
SK Raina,MP Stoinis,0.666666667,0,0,0,0.111111111,0.111111111,0.111111111,9
KK Nair,SP Narine,0.533333333,0.2,0,0,0.266666667,0,0,15
S Dhawan,C Munro,0,0.666666667,0,0,0.333333333,0,0,3
DJ Hooda,AR Patel,0.142857143,0.428571429,0.285714286,0,0,0.142857143,0,7
DJ Bravo,Mustafizur Rahman,0.75,0.25,0,0,0,0,0,4
Q de Kock,SR Watson,0.333333333,0.333333333,0.083333333,0,0.166666667,0,0.083333333,12
G Gambhir,HH Pandya,0.272727273,0.454545455,0.090909091,0,0.090909091,0,0.090909091,11
AD Nath,B Kumar,0.5,0,0,0,0,0,0.5,2
SV Samson,MP Stoinis,0.125,0.375,0.125,0,0.25,0,0.125,8
RG Sharma,Z Khan,0.473684211,0.368421053,0,0,0.105263158,0,0.052631579,19
AR Patel,M Morkel,0,0.5,0.25,0,0.25,0,0,4
Yuvraj Singh,JJ Bumrah,0.5,0.5,0,0,0,0,0,6
CH Gayle,CH Morris,0.5,0,0,0,0,0,0.5,2
S Dhawan,DW Steyn,0.75,0.25,0,0,0,0,0,4
Z Khan,PP Chawla,1,0,0,0,0,0,0,4
YK Pathan,SB Jakati,0.428571429,0.571428571,0,0,0,0,0,14
NS Naik,DJ Hooda,1,0,0,0,0,0,0,2
Sachin Baby,DS Kulkarni,0.666666667,0,0,0,0,0,0.333333333,3
N Rana,DS Kulkarni,0,0.25,0.25,0,0.25,0.25,0,4
SS Tiwary,P Kumar,1,0,0,0,0,0,0,1
MS Dhoni,PP Chawla,0.555555556,0.333333333,0.111111111,0,0,0,0,9
G Gambhir,A Ashish Reddy,0,0.6,0,0,0.4,0,0,5
Q de Kock,SK Raina,0.384615385,0.538461538,0.076923077,0,0,0,0,13
KK Nair,D Wiese,0.411764706,0.352941176,0.058823529,0,0.176470588,0,0,17
SE Marsh,BB Sran,0.25,0.75,0,0,0,0,0,4
PA Patel,GJ Maxwell,0,1,0,0,0,0,0,1
KD Karthik,Z Khan,0.428571429,0.142857143,0.142857143,0.142857143,0.142857143,0,0,7
AT Rayudu,Mustafizur Rahman,0.230769231,0.384615385,0.230769231,0,0.153846154,0,0,13
KD Karthik,Iqbal Abdulla,0.315789474,0.263157895,0.210526316,0,0.210526316,0,0,19
Q de Kock,B Kumar,0.75,0.166666667,0.083333333,0,0,0,0,12
RA Jadeja,MG Johnson,0.5,0.5,0,0,0,0,0,2
MC Henriques,Parvez Rasool,0.571428571,0.428571429,0,0,0,0,0,7
SK Raina,NLTC Perera,0.125,0.375,0.25,0,0.125,0,0.125,8
Gurkeerat Singh,VR Aaron,0,0.5,0,0,0.5,0,0,2
Shakib Al Hasan,DS Kulkarni,0.5,0.375,0.125,0,0,0,0,8
AJ Finch,R Ashwin,0.8,0.2,0,0,0,0,0,5
KA Pollard,MG Johnson,0,0.666666667,0.333333333,0,0,0,0,3
Q de Kock,JJ Bumrah,0,1,0,0,0,0,0,1
R Dhawan,Mustafizur Rahman,0,0.5,0.5,0,0,0,0,2
KH Pandya,B Kumar,0.363636364,0.090909091,0.363636364,0,0.181818182,0,0,11
AT Rayudu,Mohammed Shami,0.4,0,0,0,0.6,0,0,5
DA Warner,GJ Maxwell,0.5,0.125,0.125,0,0.125,0.125,0,8
AB de Villiers,CR Brathwaite,0.5,0,0,0,0,0,0.5,2
SK Raina,I Sharma,0,0.666666667,0.166666667,0,0.166666667,0,0,6
NLTC Perera,BB Sran,0,1,0,0,0,0,0,2
Yuvraj Singh,R Ashwin,0.714285714,0.285714286,0,0,0,0,0,7
Iqbal Abdulla,B Kumar,0.5,0,0,0,0.5,0,0,2
WP Saha,M Ashwin,0,1,0,0,0,0,0,1
AB de Villiers,BB Sran,0.388888889,0.277777778,0.166666667,0,0.111111111,0,0.055555556,18
CH Morris,NLTC Perera,0,0.2,0,0,0.4,0.4,0,5
KA Pollard,SP Narine,0,1,0,0,0,0,0,1
DJ Hooda,T Shamsi,0,1,0,0,0,0,0,1
AD Russell,VR Aaron,0.625,0.125,0.125,0,0,0.125,0,8
MC Henriques,RA Jadeja,0,1,0,0,0,0,0,1
RV Uthappa,JA Morkel,0.5,0,0,0,0,0,0.5,2
DJ Bravo,Z Khan,0,0.5,0.5,0,0,0,0,2
Z Khan,KH Pandya,0.5,0,0,0,0,0,0.5,2
AD Russell,JJ Bumrah,0.357142857,0.214285714,0.142857143,0,0.214285714,0.071428571,0,14
KL Rahul,I Sharma,0.571428571,0.285714286,0,0,0.142857143,0,0,7
MS Dhoni,MJ McClenaghan,0.4,0.4,0,0,0.2,0,0,5
SV Samson,KA Pollard,0,0.666666667,0.333333333,0,0,0,0,3
WP Saha,TG Southee,0.2,0.4,0,0,0.4,0,0,5
SK Raina,JJ Bumrah,0.454545455,0.181818182,0.090909091,0,0.090909091,0.090909091,0.090909091,11
SPD Smith,Bipul Sharma,0,0.5,0,0,0.5,0,0,2
G Gambhir,J Suchith,0.166666667,0.5,0.166666667,0,0,0.166666667,0,6
M Ashwin,KW Richardson,0.5,0,0,0,0,0,0.5,2
G Gambhir,KS Williamson,0.333333333,0.666666667,0,0,0,0,0,3
AB de Villiers,P Negi,0.3,0.5,0,0,0.2,0,0,10
MS Dhoni,B Kumar,0,0.666666667,0,0,0.333333333,0,0,3
AM Rahane,JP Duminy,0,0.75,0,0,0.25,0,0,4
YK Pathan,Swapnil Singh,0,1,0,0,0,0,0,2
M Vohra,IK Pathan,0,1,0,0,0,0,0,1
A Mishra,JJ Bumrah,0.666666667,0,0,0,0,0,0.333333333,3
Gurkeerat Singh,YS Chahal,0.285714286,0.428571429,0,0,0.142857143,0,0.142857143,7
AR Patel,AD Russell,0,0.333333333,0,0,0,0.666666667,0,3
AJ Finch,Shakib Al Hasan,0,0.4,0.2,0,0.2,0.2,0,5
SR Watson,MC Henriques,0.428571429,0.285714286,0,0,0,0.142857143,0.142857143,7
SV Samson,A Nehra,0.5,0.5,0,0,0,0,0,2
SP Narine,B Kumar,0.666666667,0.333333333,0,0,0,0,0,3
AB de Villiers,Ankit Sharma,0,0.7,0.1,0,0.1,0.1,0,10
RG Sharma,YS Chahal,0,1,0,0,0,0,0,5
SV Samson,KH Pandya,0.222222222,0.666666667,0.055555556,0,0.055555556,0,0,18
A Ashish Reddy,M Morkel,0,1,0,0,0,0,0,1
SK Raina,MG Johnson,0.666666667,0.333333333,0,0,0,0,0,3
UT Khawaja,Shakib Al Hasan,0.333333333,0.333333333,0,0,0,0,0.333333333,3
V Kohli,Anureet Singh,0.4,0.6,0,0,0,0,0,5
Q de Kock,R Vinay Kumar,0.142857143,0.285714286,0,0,0.428571429,0.142857143,0,7
DA Miller,YS Chahal,0.5,0.25,0,0,0,0,0.25,4
